id,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm)
1,30.6,6.7,7.5,203
2,29.8,5.7,7.2,189
3,29.5,6.3,6.9,179
4,29.7,5.8,6.9,64
5,29.5,5.8,7.3,83
6,30,5.5,7.4,81
7,29.2,6.1,6.7,308
8,29.6,6.4,6.7,414
9,30,6.4,7.6,305
10,30.1,6.3,7.6,77
11,27.8,7.1,7.1,176
12,27.9,6.7,6.4,93
13,29.3,7.4,6.8,121
14,29.2,6.9,7,620
15,30,6,7.5,72
16,29,7.3,7,247
17,29.1,7.3,7,188
18,28.7,7,6.9,224
19,28.7,7.3,6.7,144
20,29.5,5.3,6.8,319
21,29,6.3,6.4,79
22,29.4,5.4,7.6,39
23,28.3,2.2,6.5,322
24,30.1,5.2,7.1,192
25,30.3,5.6,7.5,282
26,30.5,5.5,7.4,275
27,29.1,7.3,6.7,55
28,30.1,6.5,7.5,415
29,29.2,7.2,6.3,100
30,25.1,6.6,7.8,95
31,29.6,6.9,7.9,99
32,27.4,6.8,7.7,85
33,27.8,6.7,7.8,80
34,30.6,5.1,7.3,3937
35,25,5.6,7.9,468
36,25,6.4,7.6,541
37,25,5.5,7.4,6166
38,25.3,5.3,7.7,24062
39,25.1,6.7,7.6,83
40,26.1,3.6,7.4,4424
41,21.4,7.2,7.7,226
42,27.4,5.9,7.4,268
43,27.1,5.4,7.5,2413
44,27.2,5.8,7.3,384
45,27.3,5.9,7.4,269
46,27,6,7.3,269
47,27.2,6.1,7.3,196
48,27,5.9,7.4,269
49,22.6,6.3,7.8,223
50,28.4,6.7,7.3,9293
51,28,6.8,7.2,170
52,27.6,6.8,7.3,4175
53,27.9,6.9,7.3,4282
54,28.1,6.9,7.3,5551
55,27.1,6.8,7.9,5390
56,27.6,6.6,8.1,161
57,27.3,6.7,8,138
58,27.8,6.7,7.8,81
59,28,5.9,7.7,194
60,28.1,6.3,7.6,186
61,28.6,6.6,7.6,207
62,26.9,6.8,7.7,85
63,23,7.1,7.4,176
64,23,7,7.4,178
65,23,7.2,7.2,180
66,25.1,6.7,7.5,85
67,24.6,5.8,7.4,77
68,25.7,6.6,7.5,75
69,24.8,6.7,7.5,82
70,27.3,6.7,6.9,56
71,27.5,6.5,6.7,2240
72,25.2,6.3,6.9,73
73,29.9,7,7.4,130
74,29.8,6.6,7.7,191
75,27.8,6.9,6.9,134
76,26.7,7,7.5,80
77,25.8,6.7,7.4,14526
78,26.4,7.2,7.4,82
79,29.8,7.5,7.2,67
80,28.6,3,6.6,965
81,26.9,5.9,7.4,17990
82,26,6.7,7.5,90
83,23.6,6.1,7.4,4429
84,30.3,6.7,6.9,87
85,30.7,6.9,6.8,85
86,28.7,2.1,6.8,101
87,28.2,2.5,6.9,83
88,24.8,7.2,7.6,75
89,26.3,3.7,7.7,32005
90,29.2,6.1,7.6,281
91,26.6,6.7,7.6,106
92,30.4,7.6,7.1,58
93,25.5,1.9,7.7,2941
94,25.1,7.4,7,35
95,28.9,6.4,7.2,63
96,28.8,5.4,6.7,65
97,29.3,5.6,7.3,90
98,29.5,7.1,8,728
99,28.4,5.9,6.8,13953
100,26.9,7.4,6.9,57
101,25.8,7.2,7.2,41
102,26.6,6.5,7.4,71
103,25.3,6.8,7.1,81
104,28.2,6.8,6.9,68
105,28.5,6.6,7,70
106,27.6,6.4,7.7,100
107,29,7.3,6.9,96
108,27.5,6.8,6.6,49
109,30,5.6,7.2,24360
110,27.8,6.9,6.8,59
111,30.2,7.1,6.8,14410
112,30.8,6.2,7.2,22757
113,25.3,6.7,7.1,66
114,25.3,7.2,7,59
115,25.8,6,7.6,120
116,27.2,5.2,6.8,55
117,28.1,4.8,6.8,86
118,28.3,3.9,6.9,62
119,28.1,5,6.9,3185
120,27.7,7,7,36
121,28,6.3,6.9,64
122,28.2,6.2,6.9,86
123,28,5.7,6.8,2640
124,28.1,5.7,6.9,53
125,28.1,6.6,7.1,2007
126,28.1,6.6,7,46
127,27.3,6.5,6.5,43
128,28.3,6.7,6.3,54
129,29.1,4.3,7.2,113
130,28.7,4.6,6.7,12561
131,28.5,7.7,6.9,61
132,26.6,5.8,6.5,61
133,31,4.5,6.9,1614
134,30.5,6.9,7.2,20950
135,28.8,6.6,7,14487
136,25.3,6.9,7.5,54
137,25.9,5.5,7.6,569
138,26.5,5.4,7.8,310
139,18.9,7.1,7.8,516
140,20.5,6.9,8,505
141,27.1,7.3,7.3,109
142,26.3,7.5,7.5,83
143,29.1,6.4,7.2,102
144,28.4,6.5,7.1,92
145,24.7,7.7,7.9,232
146,24.4,7.5,7.8,519
147,22.7,7.3,7.2,103
148,24.8,7.4,7.9,196
149,24,7.4,7.8,244
150,22.8,7.5,8,243
151,26.8,7.2,8,296
152,27.4,6.6,7.8,25034
153,25.3,7.5,7.9,194
154,27.1,7.4,7.9,170
155,29,NAN,7.3,386
156,25,5.9,7.9,21600
157,25,6.5,7.3,21600
158,25,6.5,7.7,26600
159,32,6,7.1,13000
160,29.3,6.5,7.4,1063
161,22.8,6.8,6.6,63
162,24.5,6.6,6.4,101
163,25.5,6.6,6.5,136
164,29,6.7,6.9,226
165,23.8,6.7,6.3,72
166,22.8,6.7,6.4,61
167,29,6.6,7.2,1300
168,29,6.7,7,461
169,23,6.6,6.2,69
170,29,6.8,6.9,241
171,25.7,6.5,6.6,159
172,25.7,6.6,6.7,170
173,24.3,0.9,7.6,2039
174,NAN,NAN,NAN,NAN
175,22.7,5.8,7.2,640
176,19,4.8,7.6,1090
177,23,5.5,7.3,705
178,24,5.1,7.4,1375
179,24.7,5.5,7.4,745
180,25,5,7.6,975
181,22,4.9,7.7,1385
182,24.3,5,7.3,1067
183,23.3,5.3,7.2,970
184,19.5,4.9,7.7,1418
185,21.5,4.1,7.5,1015
186,20,4.8,7.4,854
187,NAN,NAN,8.2,NAN
188,NAN,NAN,7.9,NAN
189,32.6,4,6.8,370
190,23.6,7.8,7.8,376
191,23.9,7.7,7.7,354
192,24.5,7.6,7.9,344
193,NAN,NAN,7.2,NAN
194,18.1,4.4,7.1,694
195,25.1,5.9,8,401
196,22.3,6,7.2,106
197,23.7,5.6,7.9,326
198,23.9,6.2,8.1,592
199,25.5,7.2,7.5,119
200,25.1,7.2,7.5,120
201,25.2,7.5,7.3,82
202,23.2,7.5,7.5,111
203,20.1,5.3,3.3,831
204,18.3,7.2,7.2,56
205,19.3,7.5,7.2,66
206,24,7.8,7,74
207,20.5,6.7,2.7,1350
208,21.2,7.3,6.6,274
209,26.3,7.4,7.3,67
210,25.5,7.2,7.4,82
211,20,7.3,7.1,55
212,20.3,7.3,7.1,57
213,19.4,6.6,7.1,114
214,21,7.3,5.6,56
215,19.2,5.1,7,105
216,18.3,7.3,7.1,51
217,19.6,7.7,7.2,50
218,23.7,7.6,7.3,115
219,18.2,6.2,7,81
220,18.8,7.2,7.1,66
221,18.9,7.4,7.1,57
222,25.1,7.5,7.4,144
223,18.8,7.1,7.1,63
224,20.2,7.3,7.2,65
225,20,7.3,7.3,65
226,18.5,1.5,6.9,345
227,18.8,3.9,7.1,233
228,18.3,1,7.2,376
229,18.5,0.9,7.2,506
230,18.2,7.2,7,66
231,22.1,7.7,7.2,62
232,17.6,7.3,6.9,61
233,18.7,1.2,7.1,380
234,18.7,3.2,7.1,258
235,23.1,7.2,7.2,124
236,22.6,7.2,7.1,65
237,20,7.5,7.3,64
238,19.9,7.6,7.3,65
239,24.5,7.1,7.3,269
240,24.4,7.2,7.3,275
241,23.6,6.9,7.1,186
242,23.5,6.8,7.1,201
243,27.3,6.2,7.8,165
244,29.1,6.4,7.8,158
245,26.6,6.6,7.9,210
246,NAN,NAN,0,208
247,27.1,7.3,7.9,693
248,27.3,5,7.6,1676
249,NAN,NAN,0,506
250,24.5,6,7.7,1863
251,NAN,NAN,NAN,24300
252,27.5,5.3,7.8,817
253,28.3,4.3,7.8,2307
254,28.4,4.5,8.3,1287
255,NAN,NAN,NAN,NAN
256,27.6,6.8,8.2,1862
257,NAN,5,8,NAN
258,NAN,3,7.7,NAN
259,27,6.7,8.1,2520
260,29,8.2,8.4,606
261,NAN,NAN,NAN,NAN
262,30,5.6,7.5,41
